Starters and Generators	Brief Description
MS561 PRO	The MS561 PRO tester is designed for diagnostics of EPS units removed from vehicles, controlled by protocols: CAN, CAN-FD and FlexRay, as well as controlled by two independent CAN buses. In maximum configuration, the tester allows diagnostics of units from almost 4000 vehicle models, including the most modern ones.
MS550	MS550 is created for joint operation with the MS561 PRO tester and is designed for diagnostics of power steering racks without a control unit (typically for Japanese vehicle brands).
MS570	MS570 is an electronics repair master's table designed for quality workplace organization: Adapted for working with diagnostic equipment for EPS steering rack repair - MS561 controller. Has two built-in laboratory power supplies. Provides illumination in the work area of at least 750 lux.

Hydraulic Power Steering (HPS)	
MS521	The mechanism provides the most reliable and complete assessment of the technical condition of steering racks with hydraulic and electric power steering, and allows identification of malfunctions that manifest only when there is resistance to rack rod movement.
MS510	The MS510 tester is used for diagnostics of steering hydraulic systems by determining the pressure created by the vehicle's HPS pump in different operating modes (with and without load).
MS511	The MS511 tester is designed to check hydraulic power steering elements: pump and rack, on the vehicle without dismounting the units. The tester allows determination of the technical condition of units and the need for their subsequent removal from the vehicle for repair.
MS504	The MS504 stand allows assessment of functionality and output characteristics of single- and dual-circuit mechanically driven HPS pumps, and allows simulation of the tested pump operation on the vehicle.
MS502M	MS502M is a stand designed for assessment of the technical condition of hydraulic power steering racks and allows determination of the presence and nature of malfunctions.
MS522	The vise is designed for quick fixation of cylindrical objects with diameters from 35 to 85mm with clamping force up to 1400 Newtons. Vise control is performed using a pneumatic distributor.
MS503N	MS503N is a universal stand for vehicle HPS systems with 230V mains power. The stand allows system flushing and checking the technical condition of the steering rack and hydraulic power steering pump.

High Voltage System	
MS800	The MS800 tester is designed for diagnostics of high-voltage nickel-metal hydride (Ni-Mh) and lithium-ion (Li-ion) batteries of hybrid and electric vehicles.
MS800A	The MS800A tester is designed for diagnostics of high-voltage nickel-metal hydride (Ni-Mh) and lithium-ion (Li-ion) batteries of hybrid and electric vehicles. The tester provides simultaneous testing of 12 battery modules.
MS801	The MS801 tester is designed for diagnostics of lithium-ion modules of high-voltage batteries in electric and hybrid vehicles, as well as 48-volt batteries of "mild hybrids" (MHEV).

Ecology	
MS900	MS900 represents a complex of equipment for cleaning particulate filters of passenger cars and trucks by washing them. MS900 uses a unique cleaning methodology that effectively removes ash and soot from the particulate filter without using chemicals. The washing and drying work process is automated. The control menu is simple and intuitive, and the closed filter washing process ensures cleanliness and order in the chamber and workplace.

Diagnostic Scanners	
LOKI	LOKI implements all necessary service functionality for repair and maintenance of Tesla Model S, Model X, Model 3 and Model Y vehicles.

Other	
MS402	The MS402 polishing machine is designed for polishing various shafts, steering rack rods and other products to remove corrosion and achieve required surface roughness.
MS410	The EPS diagnostic cable storage system allows: organizing diagnostic cable storage; quickly finding the needed cable; maintaining workplace order; protecting cables from tangling and mechanical damage. MS410 is recommended for purchase when using 10 or more cables.
