Unit name,Protocol,Comment,TOP Rating,Read ID,Read DTC,Live data,Parametrization,Programm.,Special func.,Cable,Univ. FR program,Univ. FR adapt.,Univ. cab,OEM,Group of vehicles,Vehicles,Photo,Connection diagram
VW412.NL00.,CAN,Done,TOP10,Yes,Yes,Yes,,Yes(31 files),,MS-36007 (24R),,,Yes,1K1423051AA 1K1423051AG 1K1423051AJ 1K1423051AM 1K1423051AS 1K1423051AT 1K1423051BB 1K1423051BC 1K1423051BE 1K1423051BF 1K1423051BG 1K1423051BH 1K1423051BJ 1k1423051bk 1K1423051BM 1K1423051BN 1k1423051bp 1k1423051bq 1k1423051br 1K1423051BT 1K1423051CC 1K1423051CD 1K1423051CE 1K1423051CF 1k1423051cg 1k1423051cj 1K1423051CK 1K1423051CL 1K1423051CM 1k1423051cn 1K1423051CP 1K1423055BX 1K1423055CV 1K1423055CX 1K1423055E 1K1423055EX 1K1423055F 1K1423055FV 1K1423055FX 3C1423051C 8J1423055A 8J1423055AX 8J1423055B 8J1423055C 8J1423055CX ,VAG GROUP,"VW GOLF PLUS (5M1, 521) [2009, 2010, 2011, 2012, 2013], VW EOS (1F7, 1F8) [2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015], AUDI A3 (8P1) [2003, 2004, 2005, 2006, 2007, 2008], VW TOURAN (1T1, 1T2) [2003, 2004], VW GOLF V (1K1) [2003, 2004, 2005, 2006], VW CADDY III универсал (2KB, 2KJ, 2CB, 2CJ) [2004, 2005, 2006], VW CADDY III фургон (2KA, 2KH, 2CA, 2CH) [2004, 2005, 2006], SEAT ALTEA (5P1) [2004, 2005, 2006, 2007, 2008, 2009, 2010], SKODA OCTAVIA II (1Z3) [2004, 2005, 2006, 2007, 2008, 2009, 2010], AUDI A3 Sportback (8PA) [2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013], SKODA OCTAVIA II Combi (1Z5) [2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013], SEAT TOLEDO III (5P2) [2004, 2005, 2006, 2007, 2008, 2009], VW JETTA III (1K2) [2005, 2006, 2007, 2008, 2009, 2010], SEAT LEON (1P1) [2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012], AUDI TT Roadster (8J9) [2007, 2008, 2009, 2010], SEAT ALTEA XL (5P5, 5P8) [2006, 2007, 2008, 2009, 2010], VW GOLF V Variant (1K5) [2007, 2008, 2009], AUDI A3 кабрио (8P7) [2008, 2009, 2010, 2011, 2012, 2013]",VW412.NL00.jpg,VW412conn.jpg
VW412.NR00.,CAN,Done,TOP10,Yes,Yes,Yes,,Yes(31 files),,MS-36007 (24R),,,Yes,1C2423051F 1K2423051AB 1K2423051AE 1K2423051AF 1K2423051AG 1K2423051AH 1K2423051AJ 1K2423051AK 1K2423051AL 1K2423051AM 1K2423051AN 1K2423051AP 1K2423051AQ 1K2423051AR 1K2423051AS 1K2423051AT 1K2423051BA 1K2423051BB 1K2423051BC 1K2423051BD 1K2423051CA 1K2423051CB 1K2423051CK 1K2423051CL 1K2423051CM 1K2423051CR 1K2423051DC 1K2423051Q 1K2423051R 1K2423051S 1K2423051T 1K2423055B 1K2423055C 1K2423055CX 1K2423055D 1K2423055DX 1K2423055E 1K2423055EX 1K2423055F 1K2423055FX 1K2423055G 1K2423055GX 1K2423055J 1K2423055JE 1K2423055JX 1K2423055K 1K2423051CGX 1K2423051CHX 1K2423055JEX 3AC423051C 3C2423051 3C2423051AD 3C2423051AF 3C2423051AK 3C2423051AL 3C2423051AM 3C2423051J 3C2423051S 3C2 423051T 3C2423051AKX 5C2423051B 5C2423051 C 5C2423051G 5C2423051H ,VAG GROUP,"VW PASSAT (362) [2010, 2011, 2012, 2013, 2014], VW PASSAT Variant (365) [2010, 2011, 2012, 2013, 2014], SEAT LEON (1P1) [2010, 2011, 2012], VW TOURAN (1T3) [2010, 2011, 2012, 2013, 2014, 2015], VW CADDY III фургон (2KA, 2KH, 2CA, 2CH) [2008, 2009, 2010], VW GOLF PLUS (5M1, 521) [2009, 2010, 2011, 2012, 2013], VW GOLF VI (5K1) [2008, 2009, 2010, 2011, 2012], SKODA OCTAVIA II Combi (1Z5) [2011, 2012, 2013], SKODA OCTAVIA II (1Z3) [2009, 2010, 2011, 2012], VW PASSAT Variant (3C5) [2005, 2006, 2007], SKODA SUPERB II (3T4) [2009, 2010, 2011, 2012, 2013, 2014, 2015], SKODA SUPERB II универсал (3T5) [2009, 2010, 2011, 2012, 2013, 2014, 2015], VW JETTA IV (162) [2011, 2012, 2013, 2014, 2015, 2016, 2017], AUDI A3 (8P1) [2011, 2012], AUDI A3 Sportback (8PA) [2011, 2012, 2013], VW GOLF VI Variant (AJ5) [2010, 2011, 2012, 2013], SKODA YETI (5L) [2010, 2011, 2012, 2013, 2014, 2015], VW GOLF VI Кабриолет (517) [2011, 2012, 2013, 2014, 2015, 2016], VW EOS (1F7, 1F8) [2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015], VW CADDY III универсал (2KB, 2KJ, 2CB, 2CJ) [2011, 2012, 2013, 2014, 2015], AUDI A3 кабрио (8P7) [2011, 2012, 2013], VW JETTA III (1K2) [2009, 2010], VW SCIROCCO (137, 138) [2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017], VW PASSAT CC (357) [2010, 2011, 2012], VW BEETLE (5C1) [2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019], VW TOURAN (1T1, 1T2) [2003, 2004], VW GOLF V (1K1) [2003, 2004, 2005, 2006], SEAT ALTEA (5P1) [2004, 2005, 2006, 2007, 2008, 2009, 2010], SEAT TOLEDO III (5P2) [2004, 2005, 2006, 2007, 2008, 2009], VW PASSAT (3C2) [2005, 2006, 2007, 2008], SEAT ALTEA XL (5P5, 5P8) [2006, 2007, 2008, 2009, 2010], VW GOLF V Variant (1K5) [2007, 2008, 2009], VW CC (358) [2011, 2012, 2013, 2014, 2015, 2016], VW PASSAT ALLTRACK (365) [2012, 2013, 2014], VW BEETLE кабрио (5C7) [2012, 2013, 2014, 2015, 2016], VW CADDY IV универсал (SAB, SAJ) [2015, 2016, 2017, 2018, 2019, 2020], VW CADDY IV фургон (SAA, SAH) [2015, 2016, 2017, 2018, 2019, 2020], VW CADDY ALLTRACK Variant (SAB) [2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025], VW CADDY ALLTRACK Фургон (SAA) [2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025], VW SCIROCCO Van (137) [2008, 2009, 2010, 2011, 2012, 2013, 2014], VW GOLF VI Van (5K1_) [2009, 2010, 2011, 2012], VW GOLF VAN VI Variant (AJ5) [2009, 2010, 2011, 2012, 2013, 2014], VW GOLF PLUS Van (521) [2009, 2010, 2011, 2012, 2013, 2014], VW PASSAT Фургон/универсал (365) [2010, 2011, 2012, 2013, 2014], VW TOURAN VAN (1T3) [2010, 2011, 2012, 2013, 2014, 2015], VW TOURAN VAN (1T1) [2003, 2004, 2005, 2006]",VW412.NR00.jpg,VW412conn.jpg
VW413.NL00.,CAN,Done,TOP10,Yes,Yes,Yes,,Yes(271 files),,MS-36014 (35R)*,,,Yes,1T1423050A 1T1423050K 3AB423050M 3AB423061A 3AB423061C 3AB423061CV 3AB423061CX 3AB423061g 3AB423061Gx 3AB423061HV 3AB423061HX 3C1423061H 3c1423061hx 3C1423061J 3c1423061jx 3c1423061kx 3C1423061M 3C1423061MX 3C1423061P 3C1423103J 5N1423050AC 5N1423050AD 5N1423050AF 5N1423050AH 5N1423050AJ 5N1423050AK 5N1423050AL 5N1423050D 5N1423050H 5N1423050J 5N1423050K 5N1423050L 5N1423050P 5N1423050Q 5N1423050R 5N1423050T 5N1423058A 5N1423058AX 5N1423058C 5N1423058CX 5N1423058E 5N1423058EX 5N1423058F 5N1423061J 5N1423061K 5N1423061KX 5N1423061L 5N1423061LX 5N1423061M 5N1423061MX 5N1423061N 5N1423061NX 5N1423061P 5N1423061PX 5N1423061S 5N1423061SX 5N1423061T 5N1423061TX 5N1423062 5N1423062J 5N1423062M 5N1423062MX 5N1423062PX 5N1423062R 5N1423062RX 5N1423062T 5N1423062TX 5N1423062X ,VAG GROUP,"SEAT ALHAMBRA (710) [2010, 2011, 2012], VW TIGUAN (5N_) [2008, 2009], AUDI Q3 (8U) [2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018], VW PASSAT Variant (3C5) [2009, 2010], VW TOURAN (1T3) [2010, 2011, 2012, 2013, 2014, 2015]",VW413.NL00.jpg,VW413conn.jpg
VW428.NL00.,CAN,Done,TOP50,Yes,Yes,Yes,,Yes(271 files),,MS-36014 (35R)*,,,Yes,3AB423050 3AB423050A 3AB423050C 3AB423050E 3AB423050F 3AB423050G 3AB423061FX 3AB423061H 3AB423061J 3AB423061JX 3AB423061K 3AB423061KX 3AB423061L 3AB423061LX 3AB423061M 3AB423061MX 3C1423050G 3C1423050H 3C1423050K 3C1423050L 3C1423050M 3C1423050P 3C1423061PX 5N1909144G 5N1909144J 5N1909144L 5N1909144M 5N1909144N 5N1909144P 5N1909144R  ,VAG GROUP,"VW PASSAT (362) [2010, 2011, 2012, 2013, 2014], VW PASSAT CC (357) [2010, 2011, 2012]",VW428.NL00.jpg,VW413conn.jpg
VW414.NL00.,CAN,Done,TOP10,Yes,Yes,Yes,,Yes(63 files),,MS-36014 (35R),,,Yes,1K1423051DL 1K1423051DM 1K1423051DQ 1K1423051DS 1K1423051EA 1K1423051EB 1K1423051ED 1K1423051EE 1K1423051EK 1k1423051el 1K1423051EP 1K1423051ER 1K1423051ES 1K1423051FD 1K1423051FE 1k1423051m 1K1423055EV 1K1423055G 1K1423055GX 1K1423055J 1K1423055JX 1K1423055KX 1k1423055mv 1K1423055MX 1K1423055N 561423051G 561423051K 561423051M 5C1423051D 5C1423051E 5C1423051F 5C1423051H 8J1423051P 8J1423051Q 8J1423055D 8J1423055DX 8J1423055EX ,VAG GROUP,"VW PASSAT Variant (365) [2010, 2011, 2012, 2013, 2014], SEAT LEON (1P1) [2010, 2011, 2012], VW GOLF PLUS (5M1, 521) [2009, 2010, 2011, 2012, 2013], VW GOLF VI (5K1) [2009, 2010, 2011, 2012, 2013], SKODA OCTAVIA II (1Z3) [2010, 2011, 2012, 2013], AUDI A3 Sportback (8PA) [2011, 2012], VW CADDY III универсал (2KB, 2KJ, 2CB, 2CJ) [2011, 2012, 2013, 2014, 2015], VW CADDY III фургон (2KA, 2KH, 2CA, 2CH) [2011, 2012, 2013, 2014, 2015], SKODA YETI (5L) [2011, 2012, 2013, 2014, 2015, 2016, 2017], VW JETTA III (1K2) [2009, 2010], VW TOURAN (1T1, 1T2) [2003, 2004], SEAT TOLEDO III (5P2) [2004, 2005, 2006, 2007, 2008, 2009], AUDI A3 (8P1) [2006, 2007, 2008, 2009, 2010, 2011, 2012], SEAT ALTEA (5P1) [2009, 2010, 2011, 2012, 2013, 2014, 2015], SEAT ALTEA XL (5P5, 5P8) [2010, 2011, 2012, 2013, 2014, 2015]",VW414.NL00.jpg,No
VW414.NR00.,CAN,Done,TOP10,Yes,Yes,Yes,,Yes(63 files),,MS-36014 (35R),,,Yes,1K2423051BQ 1K2423051BR 1K2423051CG 1K2423051CH 1K2423051CJ 1K2423051CK 1K2423051CN 1K2423051CP 1K2423051CQ 1K2423051CS 1K2423051CT 1K2423051DD 3AC423051A 3C2423051AN 5C2423051F 8J2423051J ,VAG GROUP,"VW GOLF PLUS (5M1, 521) [2009, 2010, 2011, 2012, 2013], VW PASSAT Variant (3C5) [2005, 2006, 2007], SKODA OCTAVIA II Combi (1Z5) [2004, 2005, 2006], VW EOS (1F7, 1F8) [2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015], AUDI A3 (8P1) [2003, 2004, 2005, 2006, 2007, 2008], VW TOURAN (1T1, 1T2) [2003, 2004], VW GOLF V (1K1) [2003, 2004, 2005, 2006], VW CADDY III универсал (2KB, 2KJ, 2CB, 2CJ) [2004, 2005, 2006], VW CADDY III фургон (2KA, 2KH, 2CA, 2CH) [2004, 2005, 2006], SEAT ALTEA (5P1) [2004, 2005, 2006, 2007, 2008, 2009, 2010], SKODA OCTAVIA II (1Z3) [2004, 2005, 2006, 2007, 2008, 2009, 2010], AUDI A3 Sportback (8PA) [2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013], SEAT TOLEDO III (5P2) [2004, 2005, 2006, 2007, 2008, 2009], VW PASSAT (3C2) [2005, 2006, 2007, 2008], VW JETTA III (1K2) [2005, 2006, 2007, 2008, 2009, 2010], SEAT LEON (1P1) [2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012], SEAT ALTEA XL (5P5, 5P8) [2006, 2007, 2008, 2009, 2010], VW GOLF V Variant (1K5) [2007, 2008, 2009], AUDI A3 кабрио (8P7) [2008, 2009, 2010, 2011, 2012, 2013]",VW414.NL00.jpg,No
VW415.NL00.,CAN,Done,TOP10,Yes,Yes,Yes,,Yes(25 files),"R/W DFlash,PFlash  RHD<->LHD",MS-36014 (35R),,,Yes,5Q1423050AB 5Q1423051AB 5q1423051ad 5Q1423051AE 5Q1423051AK 5Q1423051AL 5Q1423051AP 5Q1423051AQ 5Q1423051AS 5Q1423051AT 5Q1423051BA 5Q1423051BB 5Q1423051BC 5Q1423051BD 5Q1423051R 5Q1423051S 5Q1423051XA 5Q1423053AG 5Q1423055 5Q1423055A 5Q1423055AX 5Q1423055C 5Q1423055CX 5Q1423055E 5Q1423055F 5Q1423055K 5Q1423055KX 5Q1423055M 5Q1423055X 5Q1423056 5Q1423056A 5Q1423056AX 8V1423053A 8V1423053C 8V1423053D ,VAG GROUP,"VW GOLF VII универсал (BA5) [2013, 2014, 2015, 2016, 2017, 2018], VW GOLF VII (5G1) [2013, 2014, 2015, 2016, 2017, 2018], AUDI A3 (8V1) [2012, 2013, 2014], AUDI A3 Sportback (8VA) [2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020], SEAT LEON (5F1) [2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020], SKODA OCTAVIA (5E3) [2012, 2013, 2014, 2015, 2016, 2017], SKODA OCTAVIA Combi (5E5) [2012, 2013, 2014, 2015, 2016, 2017], AUDI Q2 (GAB) [2016, 2017, 2018], VW ARTEON (3H7) [2017, 2018, 2019, 2020]",VW415.NL00.jpg,VW415conn.jpg
VW415.NR00.,CAN,Done,TOP10,Yes,Yes,Yes,,Yes(25 files),"R/W DFlash,PFlash  RHD<->LHD",MS-36014 (35R),,,Yes,5Q2423055A 5Q2423055AX 5Q2423055C 5Q2423055CX ,VAG GROUP,"VW GOLF VII универсал (BA5) [2013, 2014, 2015, 2016, 2017, 2018], VW GOLF VII (5G1) [2013, 2014, 2015, 2016, 2017, 2018], AUDI A3 (8V1) [2012, 2013, 2014], AUDI A3 Sportback (8VA) [2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020], SEAT LEON (5F1) [2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020], SKODA OCTAVIA (5E3) [2012, 2013, 2014, 2015, 2016, 2017], SKODA OCTAVIA Combi (5E5) [2012, 2013, 2014, 2015, 2016, 2017], AUDI Q2 (GAB) [2016, 2017, 2018], VW ARTEON (3H7) [2017, 2018, 2019, 2020]",VW415.NR00.jpg,VW415conn.jpg
VW415.SL00.,CAN,Done,TOP10,Yes,Yes,Yes,,Yes(25 files),"R/W DFlash,PFlash  RHD<->LHD",MS-36014 (35R),,,Yes,3Q1423053F 5Q1423053AC 5Q1423053AD 5Q1423053AF 5Q1423053AH 5Q1423053AK 5Q1423053AL 5Q1423053AP 5Q1423053F 5Q1423053G 5Q1423053P 5Q1423055AK 5Q1423056C 5Q1423056CX 5Q1423056D 5Q1423056DX 5q1423056E 5Q1423056EX 5Q1423056F 5Q1423056FX 5Q1423056G 8S1423053L 8S1423053M 8S1423053P 8V1423053B ,VAG GROUP,"VW GOLF VII универсал (BA5) [2013, 2014, 2015, 2016, 2017, 2018], VW GOLF VII (5G1) [2013, 2014, 2015, 2016, 2017, 2018], AUDI A3 (8V1) [2012, 2013, 2014], AUDI A3 Sportback (8VA) [2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020], SEAT LEON (5F1) [2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020], SKODA OCTAVIA (5E3) [2012, 2013, 2014, 2015, 2016, 2017], SKODA OCTAVIA Combi (5E5) [2012, 2013, 2014, 2015, 2016, 2017]",VW415.SL00.jpg,VW415conn.jpg
VW416.NL00.,CAN,Done,,Yes,Yes,Yes,Yes(3 files),Yes(8 files),,MS-36014 (35R),,,Yes,3Q1423050N 5Q1 423 061 N NX Q QX S SX T TX 062 B BX C CX F FX 5Q1423050AC 5Q1423050S 5Q1423050T 5Q1423061S 5Q1423061SX 5Q1423061T 5Q1423061TX 5Q1423062B 5Q1423062BX 5Q1423062CX 5Q1423105F 5Q1423105G ,VAG GROUP,"VW GOLF SPORTSVAN (AM1) [2014, 2015, 2016], VW PASSAT (3G2) [2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024], VW PASSAT Variant (3G5) [2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024], SKODA SUPERB (3V3) [2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025], SKODA SUPERB универсал (3V5) [2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025], VW PASSAT ALLTRACK (3G5) [2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024], SEAT ATECA (KH7) [2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025], VW ARTEON (3H7) [2017, 2018, 2019, 2020], SKODA KAROQ (NU7) [2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",VW416.NL00.jpg,VW416conn.jpg
VW417.NL00.,CAN,Done,,Yes,Yes,Yes,Yes(1 file),Yes(2 files),,MS-36041 (83R),,,Yes,2N1423051AA 2N1423061B 2N1423061BX 2N1423061D 2N1423061DX 2N1423061F 2N1423061FX 2N1423061H 2N1423061HX 2N1423061N 65.46200-9016 65.46200-9017 6546200-6001 6546200-6009 6546200-6012 6546200-9001 6546200-9009 6546200-9012 ,VAG GROUP,"MAN TGE Фургон (UY_) [2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024], VW CRAFTER c бортовой платформой/ходовая часть (SZ_) [2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025], VW CRAFTER Фургон (SY_) [2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",VW417.NL00.jpg,VW417conn.jpg
VW417.HL00.,CAN,Done,,Yes,Yes,Yes,,Yes(2 files),,MS-36041 (83R),,,Yes,2N1423061A 2N1423061AX 2N1423061C 2N1423061CX 2N1423061E 2N1423061EX 2N1423061G 2N1423061GX 2N1423061J 2N1423061JX 2N1423061P 6546200-6001 6546200-6009 6546200-6012 6546200-9001 6546200-9009 6546200-9012 ,VAG GROUP,"MAN TGE Фургон (UY_) [2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024], VW CRAFTER c бортовой платформой/ходовая часть (SZ_) [2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025], VW CRAFTER Фургон (SY_) [2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",VW417.HL00.jpg,VW417conn.jpg
VW419.NL00.,CAN,Done,,,,,,,,MS-36014 (35R),,,Yes,5QB423056AX 5QB423056B 5QB423056BX ,VAG GROUP,"VW TIGUAN (AD1, BT1) [2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025], SKODA KODIAQ (NS7) [2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025], VW TIGUAN ALLSPACE (BW2) [2017, 2018]",VW419.NL00.jpg,VW421conn.jpg
VW421.NL00.,CAN,Done,,,,,,,,MS-36014 (35R),,,Yes,5QB423061Q 5QB423061QX 5QB423061S 5QB423061SX 5QB423050AD 5QB423050S 5QB423050T,VAG GROUP,"VW TOURAN (5T1) [2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025], VW TIGUAN (AD1, BT1) [2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025], SKODA KODIAQ (NS7) [2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025], VW TIGUAN ALLSPACE (BW2) [2017, 2018]",VW421.NL00.jpg,VW421conn.jpg
VW424.NL00.,CAN,Done,,,,,,,,MS-36014 (35R),,,Yes,5QB423050AN 5QB423050BA 5QB423050BB 5QB423050BC 5QB423050CA 5QB423062D 5QB423062DX ,VAG GROUP,"VW TIGUAN (AD1, BT1) [2016, 2017, 2018, 2019, 2020]",VW424.NL00.jpg,VW421conn.jpg
VW425.SL00.,CAN,Done,,,,,,,,MS-36014 (35R),,,Yes,5QB423053A 5QB423053C 5QB423053E 5QB423053G 5QB423056D 5QB423056X 83B423053B ,VAG GROUP,"VW PASSAT ALLTRACK (3G5) [2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024], AUDI Q3 Sportback (F3N) [2019, 2020, 2021, 2022, 2023, 2024, 2025], VW TIGUAN (AD1, BT1) [2019, 2020, 2021, 2022, 2023, 2024, 2025]",VW425.SL00.jpg,VW415conn.jpg
VW426.NL00.,CAN,Done,,,,,,,,MS-36014 (35R),,,Yes,5QN423051 5QN423051A ,VAG GROUP,"VW TIGUAN (AD1, BT1) [2018, 2019], VW TIGUAN ALLSPACE (BW2) [2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",VW426.NL00.jpg,VW421conn.jpg
